geoid,name                                               
 79500US3604103,NYC-Manhattan Community District 3--Lower East Side & Chinatown PUMA; New York
 79500US3604104,NYC-Manhattan Community District 4--Chelsea & Hell's Kitchen PUMA; New York
 79500US3604107,NYC-Manhattan Community District 7--Upper West Side PUMA; New York
 79500US3604108,NYC-Manhattan Community District 8--Upper East Side & Roosevelt Island PUMA; New York
 79500US3604109,NYC-Manhattan Community District 9--Morningside Heights & Hamilton Heights PUMA; New York
 79500US3604110,NYC-Manhattan Community District 10--Harlem PUMA; New York
 79500US3604111,NYC-Manhattan Community District 11--East Harlem PUMA; New York
 79500US3604112,NYC-Manhattan Community District 12--Washington Heights & Inwood PUMA; New York
 79500US3604121,NYC-Manhattan Community Districts 1 & 2--Financial District & Greenwich Village PUMA; New York
 79500US3604165,"NYC-Manhattan Community Districts 5 & 6--Midtown, East Midtown, & Flatiron PUMA; New York"
 79500US3604204,NYC-Bronx Community District 4--Highbridge & Concourse PUMA; New York
 79500US3604205,NYC-Bronx Community District 5--Morris Heights & Mount Hope PUMA; New York
 79500US3604207,"NYC-Bronx Community District 7--Fordham, Bedford Park, & Norwood PUMA; New York"
 79500US3604208,"NYC-Bronx Community District 8--Riverdale, Kingsbridge, & Marble Hill PUMA; New York"
 79500US3604209,NYC-Bronx Community District 9--Soundview & Parkchester PUMA; New York
 79500US3604210,NYC-Bronx Community District 10--Co-op City & Throgs Neck PUMA; New York
 79500US3604211,NYC-Bronx Community District 11--Pelham Parkway & Morris Park PUMA; New York
 79500US3604212,"NYC-Bronx Community District 12--Wakefield, Williamsbridge, & Eastchester PUMA; New York"
 79500US3604221,"NYC-Bronx Community Districts 1 & 2--Melrose, Mott Haven, Longwood, & Hunts Point PUMA; New York"
 79500US3604263,"NYC-Bronx Community Districts 3 & 6--Morrisania, Tremont, Belmont, & West Farms PUMA; New York"
 79500US3604301,NYC-Brooklyn Community District 1--Williamsburg & Greenpoint PUMA; New York
 79500US3604302,NYC-Brooklyn Community District 2--Downtown Brooklyn & Fort Greene PUMA; New York
 79500US3604303,NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA; New York
 79500US3604304,NYC-Brooklyn Community District 4--Bushwick PUMA; New York
 79500US3604305,NYC-Brooklyn Community District 5--East New York & Cypress Hills PUMA; New York
 79500US3604306,NYC-Brooklyn Community District 6--Park Slope & Carroll Gardens PUMA; New York
 79500US3604307,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA; New York
 79500US3604308,NYC-Brooklyn Community District 8--Crown Heights (North) PUMA; New York
 79500US3604309,NYC-Brooklyn Community District 9--Crown Heights (South) PUMA; New York
 79500US3604310,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA; New York
 79500US3604311,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA; New York
 79500US3604312,NYC-Brooklyn Community District 12--Borough Park & Kensington PUMA; New York
 79500US3604313,NYC-Brooklyn Community District 13--Coney Island & Brighton Beach PUMA; New York
 79500US3604314,NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA; New York
 79500US3604315,NYC-Brooklyn Community District 15--Sheepshead Bay & Gravesend (East) PUMA; New York
 79500US3604316,NYC-Brooklyn Community District 16--Ocean Hill & Brownsville PUMA; New York
 79500US3604317,NYC-Brooklyn Community District 17--East Flatbush PUMA; New York
 79500US3604318,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA; New York
 79500US3604401,NYC-Queens Community District 1--Astoria & Queensbridge PUMA; New York
 79500US3604402,"NYC-Queens Community District 2--Long Island City, Sunnyside, & Woodside PUMA; New York"
 79500US3604403,NYC-Queens Community District 3--Jackson Heights & East Elmhurst PUMA; New York
 79500US3604404,NYC-Queens Community District 4--Elmhurst & Corona PUMA; New York
 79500US3604405,"NYC-Queens Community District 5--Ridgewood, Maspeth, & Middle Village PUMA; New York"
 79500US3604406,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA; New York
 79500US3604407,"NYC-Queens Community District 7--Flushing, Murray Hill, & Whitestone PUMA; New York"
79500US3604408,"NYC-Queens Community District 8--Fresh Meadows, Hillcrest, & Briarwood PUMA; New York"
79500US3604409,"NYC-Queens Community District 9--Kew Gardens, Richmond Hill, & Woodhaven PUMA; New York"
 79500US3604410,NYC-Queens Community District 10--South Ozone Park & Howard Beach PUMA; New York
 79500US3604411,"NYC-Queens Community District 11--Auburndale, Bayside, & Douglaston PUMA; New York"
 79500US3604412,"NYC-Queens Community District 12--Jamaica, St. Albans, & Hollis PUMA; New York"
 79500US3604413,"NYC-Queens Community District 13--Queens Village, Bellerose, & Rosedale PUMA; New York"
 79500US3604414,NYC-Queens Community District 14--The Rockaways PUMA; New York
 79500US3604501,NYC-Staten Island Community District 1--North Shore PUMA; New York
 79500US3604502,NYC-Staten Island Community District 2--Mid-Island PUMA; New York
 79500US3604503,NYC-Staten Island Community District 3--South Shore PUMA; New York